airline,overall,author,review_date,customer_review,aircraft,traveller_type,cabin,route,date_flown,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,recommended
Delta Air Lines,1,Jill Marie,28th September 2018,"Not Verified | Washington to Lexington. After delaying the flight by 5+ hours, the flight is cancelled after midnight and I am rebooked on a 6am flight. No blankets, no food vouchers, no hotel, no nothing. Turns out the 6am flight is over booked and I have no seat assignment.",,Business,Economy Class,Washington to Lexington,September 2018,1,1,,,1,1,no
Delta Air Lines,1,Blade Edwards,27th September 2018,"✅ Trip Verified | Charleston to Atlanta. I had a round trip with one lay over each way. I flew from SLC to LAX just fine, but when I flew from LAX to Orlando, I sat on the plane waiting for takeoff because there seemed to be issues with the plane. It ended up taking 2 hrs before we were able to take off, which is fine I understand things happen, and I’m glad it got taken care of (not to mention it pushed back all my plans and was very inconvenient.) Now, I’m heading back home and am making arrangements to get picked up, etc when I hear on the intercom that we can’t depart because there are more issues and it’s going to at least take an hour? Does this happen often? I’ve flown many times with other airlines, and have never experienced this, let alone back to back. I will never fly with this airline again.",,Couple Leisure,Economy Class,Charleston to Atlanta,September 2018,2,3,2,1,2,1,no
Delta Air Lines,1,T Huang,27th September 2018,✅ Trip Verified | San Francisco to Los Angeles. This is the worst nightmare. I do consider not flying delta again. First the system was down and the fly delay 40 mins at the gate. Then when we started boarding the gate attendant insisted that I tucked my 2inch x 4inch clutch inside my bag because it is the third bag. Then we proceed on to the plane and noticed that due to runway conflict we are now going to wait for another 40mins inside the airplane. Or at least that is the minimum estimate of wait wait time. This is worst efficiency at its lowest.,,Business,Economy Class,San Francisco to Los Angeles,September 2018,2,2,2,,1,1,no
Delta Air Lines,1,Meredith Page,26th September 2018,"Not Verified | Detroit to Portland. My new boyfriend and i booked oir first trip together a month and a half ago, tickets booked at the same time, in one transaction, and of course we asked and assumed we would be seated together. There were plenty of open seats at the time, and when we got on the plane we were seperated, different rows and different sides, among a bunch of passengers flying solo that insisted on staying put, for no damn reason. Got our trip off to a lousy start, for absolutely no reason, such a basic thing, they scammed us, and it was completely unnecessary. I will never, never fly this hack airline again, and I recommend that you dont either, they clearly have no concern for their customers comfort or satisfaction. Terrible 4.5 hr experience.",,Couple Leisure,Economy Class,Detroit to Portland,September 2018,1,1,1,1,1,1,no
Delta Air Lines,1,Gary Drexler,22nd September 2018,"Not Verified | Dayton to Eugene. Flight was delayed no reason given. Missed connections to Eugene. Waited in line for 45 minutes to change connection. Arrived late in Eugene bag not there. Had to find an agent and another long wait. Luggage didn't arrive until 3am at the hotel. Room phone rings 3am and tell them I will get it in a few hours, ugh. Return flight same thing delay and miss connecting flight, puts me back in Dayton 11pm. Only question now is will luggage show up. Terribly slow service, delayed flights - try a different airline. Nothing offered for poor service, late flights and no luggage.",,Business,Economy Class,Dayton to Eugene,September 2018,1,1,1,2,1,1,no
Delta Air Lines,3,Emmanuel Adetunji,19th September 2018,"✅ Trip Verified | Lagos to Washington via Atlanta. My 83 yrs old mother was on this airline that was later reported rescheduled after I called delta airline customer service that lasted about 20 minutes. This is a terrible experience for all involved, firstly my mother is wheel chair assisted and does not speak english she was just sitting in Atlanta on a wheel chair on a spot not knowing what a heck was going on. I was waiting at Washington Dulles airport not knowing what was going on until i called the customer service and found out that the particular flight has been rescheduled without been warned. Not only that the man that was assigned to wheel mother at the Atlanta airport was actually demanding money from older lady just coming from Nigeria without local currency. This whole experience was appalling and very terrible.I really wish no other person have to go through this sort of experience.",,Solo Leisure,Economy Class,Lagos to Washington via Atlanta,September 2018,4,4,3,4,2,3,no
Delta Air Lines,9,Emirhan Samanci,17th September 2018,✅ Trip Verified | Paris to Detroit. The seat and legroom were amazing. Cabin crew was not friendly at all. The food was delicious. WIFI was so fast. Bathrooms were dirty. The landing was a bit bumpy. IFE was okay.,A330-200,Family Leisure,Economy Class,Paris to Detroit,July 2018,5,3,4,4,4,4,yes
Delta Air Lines,8,A Murtan,13th September 2018,"✅ Trip Verified | San Francisco to Kalamazoo via Detroit. We had long delays on the tarmac in SFO, and missed our connecting flights in Detroit. It was long and miserable. We waited in line and communication was poor from the staff. But, Delta did redeem themselves today, and they are sending me a check to cover the hotel room I paid for out of pocket that fateful night. Too bad they didn't cover the $50 taxi bill to the hotel, or the $50 in baggage fees, but at least they made good on the hotel. I was pleasantly surprised by the good training and demeanor of staff. I will give Delta another try.",,Solo Leisure,Economy Class,San Francisco to Kalamazoo via Detroit,August 2018,3,4,2,5,3,4,yes
Delta Air Lines,2,Shubham Bakshi,12th September 2018,"Not Verified | Delta has to be the most inefficient and useless flight in hurricane situation. I was flying from Boston to Greensboro, NC for a job interview on Friday when the hurricane is supposed to hit the region. My employer canceled the interview, but since they did not cancel the flight, I was told that this is voluntary change that I am making. Additionally, I had to fly before September 20th, since the ""bulletin"" board mentioned that is the law. 2 flaws in these statements: A bulletin board cannot determine that my flight needs to be on a certain date because that is when my employer wants to interview. I would love to fly before September 20th, but I cannot do that- that is impossible from my employer's perspective. When it is supposed to rain 20 inches and since you have not canceled the flight, does not mean that flight will not fly. Just because you dont cancel the flight does not mean that the hazard of the hurricane goes away. Extremely rude customer representatives who would argue with me about my own thought process, would not let me finish the sentence and would keep on going on and on about this supposed bulletin board that is their law. I have been a customer with Delta for over 10 years, but would not fly with them ever again.",,Solo Leisure,Economy Class,Boston to Greensboro,September 2018,,,,,1,1,no
Delta Air Lines,1,Tom Hoyt,7th September 2018,"Not Verified | I'm told that I have to check my bag, that all overhead bins are completely full. I get to my seat and there is a completely empty bin at my seat. When your customers pay you hundreds of dollars for a seat, they expect space for the overhead bin. Especially when there actually is space available. Not wanting to lose essentials, I frantically attempted to move items to my backpack from my carry on, breaking the zipper in the process.",,Solo Leisure,Economy Class,McCarren to Kalispell,September 2018,3,1,,,1,1,no
Delta Air Lines,4,H Stowe,7th September 2018,"✅ Trip Verified | My family just traveled from Ft. Myers to Atlanta round trip on Delta. We purchased 5 economy tickets for 2 adults and 3 children. When we checked in for the first flight to ATL the counter personnel made a snide comment about our tickets being basic economy and how lucky we were to have seats in the same row. For this first leg we had 5 seats in row 40 with 1 other passenger between us. That was good and we had a fine flight. When I used the Delta mobile app to check in for our return flight to RSW, we were given 5 middle seats (737 seats b and e) throughout the plane. We didn't get 2 seats together. When travelling with children (9, 12, and 14) that is not disastrous, but still sucks. When I asked the Atlanta check in staff if there was anything they could do for us, that is when I really experienced how Delta feels about basic economy tickets. The check in person was very friendly and helpful until he saw what type of fare we had purchased. His demeanor and helpfulness completely changed as he informed us that our tickets were take any seat class. We went to customer service and received the same treatment, even after telling the rep the ages of our girls. At the gate we tried again, and this gentleman was even more discourteous. He told us he wouldn't even look to see if there were seats available for moving us. When we got on the plane (last - zone 4), several passengers saw our predicament and offered to move to accommodate us. We didn't ask them to. Nice to see there are good people flying on Delta even if the people running it are jerks. We fly often and usually on Frontier, Allegiant, Jet Blue, and Southwest Airlines without difficulty. No other airline has embarrassed me or belittled me for choosing to fly economy with them. Bottom line is, if you buy a published basic economy fare on Delta Airlines, be prepared to be admonished and treated like you don't deserve to be on their plane.",,Family Leisure,Economy Class,Atlanta to Fort Myers,September 2018,4,5,4,5,1,3,no
Delta Air Lines,3,Sherri Walls,7th September 2018,"✅ Trip Verified | I booked a first class trip for two on Delta Airlines using my Delta Sky-miles Platinum Card. We were flying from La Guardia to Houston. It’s about a four hour flight. For me, any flight over two hours I tend to fly first class. Unless, the ticket value is exceptional. Although I’ve held this card for sometime now, I’ve only flown first class twice on Delta. I generally use Delta to fly to Atlanta, which is approximately two hours. Anyway, the trip began with the rep at the gate informing us that we wouldn’t be able to sit together due to a broken seat. I was like that blows but whatever. Then I thought to ask the Delta Rep if maybe they could simply inquire with the passenger; who one of would be sat next to, if they didn’t mind switching to a different seat (still in first class but with no on occupying the seat next to it). I was told by the Delta Rep, that I should do it myself. Which, if that’s their policy, I get! He offered no other remedy. Maybe he could’ve said: hey, I realize it’s a bit of an inconvenience, separating you and if it’s important for you to be seated together; I could move you but you’d be losing first class service (which is much on Delta anyway). I just felt that there was no regard for professionalism. It matter of fact and deal with it attitude. The kicker was this, we boarded the plane and the “first class” Stewardess was no prize either. I will give this though, she did assist in getting us seated together. She then took drink and food orders. My order was taken first. Apparently, too many people ordered the chicken salad dish. She came back to me and here’s the dialogue: I can’t give you the chicken dish, you’ll have to have the pastrami sandwich. I said well I’ll pass, because I don’t eat pastrami. But how does that work anyway, you told me my choices and I selected like everyone else? She says we ran out of the chicken. I say, but you took my order first? She says well in looking at the medallion status, you fall to the bottom. What was so crazy about that is that I purchased both first class tickets and she brings my boyfriend the chicken salad! We both laughed like hell! Again, to her defense it could only be the Delta Airline to blame. No ideal how she decided he got to eat over me though. There is clearly no training on tact or etiquette. And if I’m wrong in that statement; there is either no policy in place for common occurrences. The whole point of this review is to hopefully save anyone from wasting money on Delta first class. I’ve flown first class on American Airlines quite a few times also and have had zero complaints. Their planes even appear to be nicer. The meal thing wouldn't happen either as you select it 30 days to 24 hours before your flight. I’ll be getting rid of the Delta card. It serves no purpose.",,Couple Leisure,First Class,La Guardia to Houston,September 2018,3,1,1,,1,2,no
