Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,8.425000,8.500000,8.180000,8.200000,7.463786,2088400
2005-01-04,8.200000,8.227500,7.792500,7.815000,7.113352,1828800
2005-01-05,7.815000,7.817500,7.535000,7.637500,6.951788,4795200
2005-01-06,7.675000,7.800000,7.400000,7.475000,6.803879,2708000
2005-01-07,7.500000,7.562500,7.442500,7.442500,6.774296,974400
2005-01-10,7.387500,7.517500,7.377500,7.437500,6.769743,1193600
2005-01-11,7.475000,7.667500,7.450000,7.602500,6.919932,1572400
2005-01-12,7.587500,7.587500,7.397500,7.545000,6.867592,1717200
2005-01-13,7.545000,7.662500,7.445000,7.462500,6.792501,1104800
2005-01-14,7.525000,7.700000,7.512500,7.685000,6.995024,971200
2005-01-18,7.762500,7.997500,7.720000,7.837500,7.133832,1997200
2005-01-19,7.857500,7.857500,7.542500,7.570000,6.890349,1861200
2005-01-20,7.572500,7.650000,7.380000,7.405000,6.740164,1743200
2005-01-21,7.412500,7.500000,7.210000,7.215000,6.567222,2292000
2005-01-24,7.217500,7.217500,6.862500,6.915000,6.294155,3212800
2005-01-25,6.917500,7.212500,6.917500,7.047500,6.414760,1862000
2005-01-26,7.132500,7.212500,7.090000,7.187500,6.542190,1420800
2005-01-27,7.170000,7.197500,7.090000,7.157500,6.514885,972400
2005-01-28,7.362500,7.387500,7.165000,7.260000,6.608181,1920000
2005-01-31,7.375000,7.447500,7.287500,7.447500,6.778846,1491200
2005-02-01,7.407500,7.425000,7.297500,7.380000,6.717408,1439200
2005-02-02,7.362500,7.550000,7.310000,7.472500,6.801603,1872400
2005-02-03,7.550000,7.630000,7.415000,7.520000,6.844838,1991200
2005-02-04,7.522500,7.717500,7.517500,7.625000,6.940410,1818000
2005-02-07,7.675000,7.980000,7.675000,7.787500,7.088321,2036400
2005-02-08,7.800000,7.805000,7.495000,7.555000,6.876695,1056000
2005-02-09,7.600000,7.642500,7.230000,7.280000,6.626387,1600400
2005-02-10,7.280000,7.362500,7.137500,7.277500,6.624111,709600
2005-02-11,7.287500,7.350000,7.125000,7.350000,6.690100,1548800
2005-02-14,7.350000,7.377500,7.285000,7.365000,6.703755,810000
2005-02-15,7.412500,7.442500,7.222500,7.317500,6.660519,791200
2005-02-16,7.317500,7.342500,7.222500,7.252500,6.601353,938800
2005-02-17,7.255000,7.337500,7.162500,7.190000,6.544466,850000
2005-02-18,7.175000,7.225000,7.112500,7.150000,6.508057,578800
2005-02-22,7.087500,7.175000,7.035000,7.037500,6.405657,1069200
